  119	871072.487	1059299.109	969.439	BORDILLO
  120	871068.399	1059296.972	969.382	BORDILLO
  121	871064.429	1059294.853	969.335	BORDILLO
  122	871060.379	1059292.717	969.279	BORDILLO
  123	871056.349	1059290.589	969.226	BORDILLO
  124	871052.307	1059288.480	969.175	BORDILLO
  125	871046.922	1059285.630	969.104	BORDILLO
  126	871042.937	1059283.523	969.065	BORDILLO
  127	871036.201	1059279.978	968.984	BORDILLO
  128	871032.128	1059277.823	968.937	BORDILLO
  129	871028.027	1059275.669	968.879	BORDILLO
  130	871023.926	1059273.497	968.831	BORDILLO
  131	871019.882	1059271.354	968.780	BORDILLO
  132	871019.910	1059271.321	968.585	VIA
  133	871023.069	1059272.988	968.620	VIA
  134	871023.559	1059273.230	968.613	SUM
  135	871023.796	1059272.767	968.616	SUM
  136	871025.934	1059273.889	968.640	SUM
  137	871025.682	1059274.360	968.630	SUM
  138	871028.063	1059275.619	968.681	VIA
  139	871032.143	1059277.775	968.736	VIA
  140	871034.859	1059279.214	968.774	VIA
  141	871041.618	1059282.779	968.855	VIA
  142	871045.638	1059284.900	968.893	VIA
  143	871049.637	1059287.008	968.936	VIA
  144	871053.685	1059289.143	968.995	VIA
  145	871057.711	1059291.260	969.042	VIA
  146	871061.770	1059293.411	969.097	VIA
  147	871064.448	1059294.814	969.129	VIA
  148	871068.441	1059296.915	969.187	VIA
  149	871071.155	1059298.361	969.213	VIA
  150	871078.110	1059302.024	969.318	VIA
  151	871081.912	1059304.024	969.358	VIA
  152	871085.919	1059306.137	969.415	VIA
  153	871087.920	1059307.199	969.433	VIA
  154	871090.486	1059308.529	969.460	VIA
  155	871093.089	1059309.904	969.495	VIA
  156	871093.808	1059310.376	969.502	VIA
  157	871094.294	1059310.803	969.505	VIA
  158	871094.339	1059310.850	969.562	RAMPA
  159	871094.731	1059311.301	969.579	RAMPA
  160	871095.063	1059311.779	969.604	RAMPA
  161	871095.295	1059312.294	969.645	RAMPA
  162	871095.451	1059312.787	969.690	RAMPA
  163	871095.566	1059313.235	969.732	RAMPA
  164	871101.767	1059316.561	969.806	RAMPA
  165	871102.183	1059316.246	969.750	RAMPA
  166	871102.661	1059316.036	969.709	RAMPA
  167	871103.112	1059315.943	969.689	RAMPA
  168	871103.496	1059315.884	969.676	RAMPA
  169	871103.880	1059315.884	969.660	RAMPA
  170	871103.886	1059315.876	969.660	RAMPA
  171	871099.062	1059315.130	969.775	T-RAMPA
  172	871100.525	1059314.103	969.639	T-RAMPA
  173	871097.662	1059312.611	969.597	T-RAMPA
  174	871094.701	1059316.888	969.727	T-RAMPA
  175	871093.937	1059318.331	969.540	T-RAMPA
  176	871096.253	1059319.534	969.592	T-RAMPA
  177	871099.161	1059321.049	969.636	T-RAMPA
  178	871099.888	1059319.670	969.811	T-RAMPA
  179	871097.531	1059318.416	969.770	T-RAMPA
  180	871091.962	1059321.996	969.204	BORDILLO
  181	871089.968	1059325.685	968.922	BORDILLO
  182	871087.926	1059329.509	968.740	BORDILLO
  183	871085.729	1059333.623	968.548	BORDILLO
  184	871083.901	1059337.116	968.408	BORDILLO
  185	871082.692	1059339.422	968.307	BORDILLO
  186	871082.395	1059340.012	968.158	BORDILLO
  187	871082.439	1059340.048	968.152	VIA
  188	871080.331	1059343.983	967.989	VIA
  189	871078.240	1059347.952	967.846	BORDILLO
  190	871093.920	1059318.358	969.545	VIA
  191	871091.977	1059322.017	969.177	VIA
  192	871090.000	1059325.689	968.801	VIA
  193	871087.921	1059329.586	968.567	VIA
  194	871085.767	1059333.647	968.408	VIA
  195	871083.927	1059337.138	968.237	VIA
  196	871082.423	1059340.009	968.137	VIA
  197	871082.467	1059340.055	968.140	RAMPA
  198	871080.265	1059344.216	967.916	RAMPA
  199	871078.298	1059347.907	967.807	RAMPA
  200	871080.778	1059339.048	968.265	RAMPA
  201	871081.155	1059338.300	968.354	MURO
  202	871092.595	1059314.654	969.526	MURO
  203	871081.156	1059338.292	968.354	MURO
  204	871083.476	1059333.909	968.546	MAT
  205	871085.288	1059330.488	968.713	MAT
  206	871087.564	1059326.163	968.895	MAT
  207	871089.696	1059322.096	969.095	MAT
